Pic_Num,Dominant_Response,Synonyms
obj001,accordion,"piano, instrument,"
obj002,acorn,"nut, chestnut,"
obj003,airplane,"jet, plane, jetplane, airliner, aircraft,"
obj004,alligator,"crocodile, lizard,"
obj005,anchor,"ship, boat, anvil,"
obj006,ant,"insect, bee, hornet, fly, bug, grasshopper,"
obj007,antlers,"moose, horn, deer, spike,"
obj008,anvil,
obj009,apple,"fruit,"
obj010,fishtank,"fish, aquarium, tank, box, tank fishtank,"
obj011,arm,"forearm, hand, body,"
obj012,arrow,
obj013,artichoke,"asparagus, cauliflower,"
obj014,ashtray,
obj015,asparagus,"artichoke, broccoli, pea,"
obj016,ax,"tomahawk, hatchet, axe, saw,"
obj017,baby,"infant, kid,"
obj018,bottle,"baby bottle,"
obj019,stroller,
obj020,backpack,"knapsack, bag, rucksack, bookbag,"
obj021,badge,"police, medal, star,"
obj022,bag,"lunch bag, paper bag, sack,"
obj023,balcony,"porch, veranda, terrace, window, windows,"
obj024,ball,"rattle, soccer ball, volleyball,"
obj025,balloon,
obj026,banana,"fruit,"
obj027,bandaid,"bandage,"
obj028,banjo,"guitar, instrument, ukelele,"
obj029,barbecue,"grill, griddle, barbecue grill, firepit, stove,"
obj030,barrel,"keg, bucket, pail,"
obj031,basket,"box, bag, crate, picnic basket,"
obj032,bat,
obj033,bathtub,"bath, tub, soap,"
obj034,bear,"grizzly, polar bear,"
obj035,beard,"facial hair, Santa, mustache, man,"
obj036,beaver,"otter, platypus, woodchuck, groundhog, marmot, badger, porcupine, wombat, hamster, squirrel, possum,"
obj037,bed,
obj038,bee,"bug, fly, bumblebee, insect, bug fly,"
obj039,bug,"beetle, insect, ladybug, fly,"
obj040,bell,
obj041,belt,"collar,"
obj042,bench,"seat, chair,"
obj043,bicycle,"bike,"
obj044,binoculars,"telescope,"
obj045,bird,"sparrow, finch, robin, swallow, crow,"
obj046,blimp,"airship, hot air balloon, balloon, air baloon, helium, Zeppelin, dirigible, squash,"
obj047,wood,"plank, platform, timber, slab, harmonica, wood plank,"
obj048,boat,"ship, craft,"
obj049,bomb,"TNT, explosive, grenade, firecracker,"
obj050,bone,
obj051,book,"novel, textbook, bible,"
obj052,boot,"shoe, cowboy boot,"
obj053,bottle,"beer, water, glass, jug,"
obj054,bowl,"cup, dish, plate,"
obj055,bow,"bowtie, ribbon, tie,"
obj056,box,"package, carton,"
obj057,boy,"child, kid, youngster, youth, son, minor, teenager, man,"
obj058,branch,"tree, leaf, leaves, bark, twig, extension, branches,"
obj059,bra,"bikini,"
obj060,bread,"loaf, toast,"
obj061,bride,"wedding, woman, dress, gown, mate, newlywed, spouse, wife, princess,"
obj062,bridge,"Golden Gate Bridge, overpass, San Francisco bridge,"
obj063,broom,"mop, sweeper,"
obj064,brush,"hair brush, comb,"
obj065,bus,"bus driver, driver, public transportation, schoolbus,"
obj066,butter,"plate, oil, margarine, spread,"
obj067,butterfly,"moth,"
obj068,button,"wheel, plate,"
obj069,cactus,"cacti, cactuses,"
obj070,cage,"crate, pen, empty, box,"
obj071,cake,"bite, bitten, wedding cake, dessert, eaten, cheese,"
obj072,camel,"hump, humps, llama, goat,"
obj073,camera,"digital camera, lens,"
obj074,can,"tomatoes, tomato, container, canister, tin, open can, opened can, canned tomatoes, soup, tin can,"
obj075,candle,"light,"
obj076,cane,"club, walker, walking stick, pole, hook,"
obj077,cannon,"howitzer, artillery, wheel,"
obj078,canoe,"boat, kayak, dinghy, raft,"
obj079,canopener,
obj080,hat,"beret, cap, crochet,"
obj081,car,"automobile, sedan, station wagon, vehicle,"
obj082,carousel,"merry go round, ride, circus, carnival,"
obj083,carrot,"vegetable, herb,"
obj084,tape,"cassette, recorder, recording, VHS,"
obj085,castle,"fort, fortress, tower, citadel, moat, palace, sandcastle,"
obj086,cat,"cats, kitten, kitty,"
obj087,celery,"cucumber, vegetable, parsley, lettuce,"
obj088,chain,"rope, necklace,"
obj089,chair,"seat,"
obj090,cheese,
obj091,cherry,"grape, peach, apple, pear, plum,"
obj092,chest,"body, hair, body hair, nipple, nipples, abdomen, stomach, muscle, hairy chest, torso,"
obj093,chicken,"rooster, bird, turkey, hen, poultry,"
obj094,chimney,"roof, brick, pipe, fireplace, stack, vent,"
obj095,church,"cathedral, chapel, mosque, parish, sanctuary, shrine, synagogue, temple, bethel, abbey,"
obj096,cigarette,"smoke, smoking, cigar,"
obj097,city,"skyline, highway, buildings, commute, downtown, turnpike, car, freeway,"
obj098,clamp,
obj099,clock,"time, alarm, watch,"
obj100,clothespin,
obj101,cloud,"clouds, mashed potatoes, pie, pile, bush, potatoe,"
obj102,clown,"joker,"
obj103,coat,"jacket, cloak, overcoat, suit, shirt, dress coat, suit coat, lab coat, raincoat,"
obj104,dime,"coin, money, change, gold, nickel, quarter, penny,"
obj105,pillar,"column, pedestal, pilaster, lighthouse, pole, statue, tower,"
obj106,comb,"brush, hair comb,"
obj107,cookie,
obj108,cork,"cap, plug, top,"
obj109,corkscrew,
obj110,corn,"corn on the cob, ear of corn,"
obj111,cow,"bull, ox, buffalo, bison,"
obj112,cowboy,"dance, dancer, man, sheriff, officer,"
obj113,crab,"lobster, crustacean, spider,"
obj114,crackers,"saltine, saltines, cookie, cookies, graham cracker, graham crackers, cracker,"
obj115,crib,"bed, bassinet,"
obj116,cross,"Christianity,"
obj117,crown,"king, regal, cake,"
obj118,block,"cube, square, ice, box, dice, ice cube, cheese block,"
obj119,cup,"mug, drink, teacup, coffee cup,"
obj120,curtains,"blinds, drapes, shades, shutters, window, curtain,"
obj121,deer,"reindeer, elk, antelope, caribou, buck,"
obj122,dentist,"orthodontist, oral surgeon, doctor, patient, feeding, nurse,"
obj123,desert,"cactus, cacti, wildlife, savanna,"
obj124,desk,"cabinet, table, drawer, dresser,"
obj125,diaper,"underwear, underpants, pants,"
obj126,dinosaur,"brontosaurus, plesiosaurus, brachiosaurus,"
obj127,doctor,"priest, friar, preacher,"
obj128,dog,"puppy, hound,"
obj129,doll,"puppet, figurine, ballerina, girl, baby doll,"
obj130,dolphin,"shark, porpoise,"
obj131,donkey,"horse, mule, pony,"
obj132,door,"window,"
obj133,dragon,"phoenix,"
obj134,drawer,"cabinet, dresser, cupboard, sink,"
obj135,dress,"doll, gown, mannequin,"
obj136,dresser,"drawer, cabinet, chest, cupboard, drawers, desk, chest of drawers, bureau, dresser drawer,"
obj137,drill,"driver, screwdriver, nail gun, tool, power drill,"
obj138,drum,"instrument, drums, drumset, tambourine,"
obj139,duck,"duckling, goose, mallard, swan, seagull, pelican,"
obj140,dustpan,"bin, dustbin,"
obj141,eagle,"bird, raven, hawk, falcon,"
obj142,ear,"audio, earlobe,"
obj143,earring,
obj144,egg,"egg holder, holder, boiled egg,"
obj145,elephant,
obj146,envelope,"mail, letter,"
obj147,eskimo,"Inuit, cold, jacket, fur,"
obj148,eye,"eyeball, pupil, iris, eyelash, eyelashes, vision,"
obj149,fan,"blower,"
obj150,faucet,"sink, nozzle, valve, tap, water, spigot, water spigot,"
obj151,feather,"quill, quill pen, pen,"
obj152,fence,"wall, gate,"
obj153,finger,"index finger, middle finger, ring finger, touch,"
obj154,fire,"bonfire, campfire, blaze, log,"
obj155,fireman,"man, firefighter,"
obj156,firetruck,"fire, burning building, ladder, fire engine, bus, firecar,"
obj157,fish,
obj158,fishingpole,"bait, fishing rod, fishing line, rod, hook, casting rod, casting line, fly rod, fishing, pole, _sword,"
obj159,flag,"flag, pennant, banner,"
obj160,flashlight,"spotlight, light,"
obj161,wine,
obj162,floor,"checkers, room, tiles, tiled floor, tile, flooring,"
obj163,flower,"sunflower, daisy, daffodil, dandylion, petunia,"
obj164,flute,"recorder, piccolo, clarinet, oboe,"
obj165,fly,"bug, bee, flea, gnat, bumblebee, housefly,"
obj166,foot,"foot, toe, toes, ankle, feet,"
obj167,football,"ball, American football,"
obj168,fork,"utensil,"
obj169,fountain,"water, stream, water fountain, sprinkler,"
obj170,fox,"wolf, coyote, hyena, animal,"
obj171,frog,"toad,"
obj172,funnel,"filter, syphon, pour,"
obj173,trash,"garbage, dump, garbage dump, litter, waste,"
obj174,gas,"gas station, refill, fuel, diesel,"
obj175,fence,"door, entrance, wall, gate, doorway,"
obj176,genie,"wizard, spirit, ghost, aladdin,"
obj177,ghost,
obj178,giraffe,"zebra,"
obj179,girl,"child, kid, youngster, youth, daughter, minor, little girl, woman,"
obj180,glass,"cup, bottle, cup, drink,"
obj181,glasses,
obj182,globe,"map, planet, world, atlas,"
obj183,glove,"mitt, hand,"
obj184,goat,"sheep, ram, lamb, camel, ox,"
obj185,gorilla,"monkey, ape, baboon, chimpanzee, orangutan,"
obj186,grapes,"fruit, grape,"
obj187,grasshopper,"bug, insect,"
obj188,guitar,
obj189,gun,"handgun, pistol, revolver, firearm,"
obj190,hair,"woman, long hair, curly hair, wig,"
obj191,brush,"hair brush, comb,"
obj192,hamburger,"patty, burger, sandwich, cheeseburger,"
obj193,hammer,"mallet, drill,"
obj194,hammock,
obj195,hand,"finger, fingers,"
obj196,handcuffs,"arrested, arrest, shackles, cuffs, chains, chained,"
obj197,hanger,"clothes rod, wire hanger, coat hanger, clothes hanger,"
obj198,harp,"angel, wing, harpsicord, cello, accordion, harmony,"
obj199,hat,"fedora,"
obj200,hay,"bush, leaves, pile,"
obj201,heart,"love, valentine, love heart,"
