transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
trophy,0.98762906,lVaGU6tj,154,1.4849999999999999,1.9549999999999996
bandaid,0.949376,lVaGU6tj,155,1.055,1.6600000000000001
statue,0.98762906,lVaGU6tj,156,1.465,2.015
hoof,0.9703904,lVaGU6tj,157,1.44,1.62
toaster,0.98762906,lVaGU6tj,158,1.065,1.565
corn,0.89218247,lVaGU6tj,159,2.265,2.625
hen,0.98762906,lVaGU6tj,160,1.5999999999999996,1.9649999999999996
bench,0.98762906,lVaGU6tj,161,1.1300000000000001,1.555
crab Lobster,0.9938145,lVaGU6tj,162,1.545,2.595
waffle,0.98762906,lVaGU6tj,163,1.52,2.08
coin,0.98762906,lVaGU6tj,164,1.7850000000000001,2.16
motorcycle,0.98762906,lVaGU6tj,165,1.0099999999999998,1.6599999999999997
stoplight,1,lVaGU6tj,166,1.2349999999999999,1.8649999999999998
cage,0.97699326,lVaGU6tj,167,1.2750000000000001,1.655
crown,0.97691375,lVaGU6tj,168,1.3299999999999998,1.7549999999999997
fly,0.59398913,lVaGU6tj,169,3.83,4.255
cheese,0.98762906,lVaGU6tj,170,0.965,1.41
fishing pole,0.98762906,lVaGU6tj,171,1.2,2.105
unicorn,0.98762906,lVaGU6tj,172,1.3800000000000001,2.1750000000000003
skunk,0.98762906,lVaGU6tj,173,1.165,1.37
San Francisco bridge,0.92622906,lVaGU6tj,174,1.605,2.88
sword,0.98762906,lVaGU6tj,175,1.27,1.655
windmill,0.96313494,lVaGU6tj,176,1.32,1.905
flag,0.98762906,lVaGU6tj,177,1.165,1.585
moose,0.9781602,lVaGU6tj,178,1.5599999999999998,2.0199999999999996
Soldier,0.98762906,lVaGU6tj,179,1.025,1.55
bug,0.98762906,lVaGU6tj,180,1.6049999999999998,1.8649999999999998
picture,0.98762906,lVaGU6tj,181,1.7799999999999998,2.26
doll,0.9771987,lVaGU6tj,182,1.04,1.545
bicycle,0.98762906,lVaGU6tj,183,0.92,1.6400000000000001
NA,NA,lVaGU6tj,184,0,4.29
match,0.98762906,lVaGU6tj,185,1.085,1.3
hippopotamus,0.98762906,lVaGU6tj,186,1.16,1.975
unicycle,0.98762906,lVaGU6tj,187,1.1549999999999998,2.0999999999999996
doctor patient,0.9387294,lVaGU6tj,188,1.625,2.67
couch,0.98762906,lVaGU6tj,189,1.5299999999999998,1.7899999999999998
Barrel,0.96872413,lVaGU6tj,190,0.9899999999999999,1.5299999999999998
cup,0.95009625,lVaGU6tj,191,0.845,1.025
chest,0.98762906,lVaGU6tj,192,1.07,1.3800000000000001
flag,0.98762906,lVaGU6tj,193,2.55,2.9599999999999995
duck,0.97349,lVaGU6tj,194,1.5,1.7
pyramid,0.98762906,lVaGU6tj,195,1.28,1.84
anchor,0.9677539,lVaGU6tj,196,1.96,2.47
