Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,BF,Rhat,ESS,beyond_95,beyond_97dot5,beyond_99,power_sample_size
b_Congruency1.Bias1,-2.4362e-4,1,-0.00501338,0.00469533,0.5741,1,0,Inf,0.4259,0.0022724086993795036,0.9997212495113916,18518.24732959298,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.009403914999999999,1,0.00482131,0.0146005,1,1,0,Inf,1,107703.46237402418,0.9997214122877703,19545.752025169084,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.00248306,1,-0.00260573,0.00686377,0.9727,1,0,Inf,0.9727,0.0156499163256726,0.9999057790303658,21319.155917931617,TRUE,FALSE,FALSE,300
b_Congruency1.Bias1,2.7005e-5,1,-0.00444019,0.00479851,0.5089,1,0,Inf,0.5089,0.0022425214178092134,0.9997836598125197,17963.803454339683,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,1.132595e-5,1,-0.00462431,0.00480448,0.5024,1,0,Inf,0.5024,0.0022713785748302772,0.9997694436481936,17208.347427115117,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.004357059999999999,1,-0.00894424,7.45891e-4,0.9996,1,0,Inf,4e-4,0.5084470391892656,0.9998689443255948,19183.512903913823,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.0012486350000000001,1,-0.00633719,0.00364438,0.836,1,0,Inf,0.164,0.0036788735951673126,0.9998477036213337,19199.51367524361,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-5.126365000000001e-4,1,-0.00585251,0.00451657,0.6533,1,0,Inf,0.3467,0.002373647291463967,0.9997656015695965,18419.201233447002,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00186795,1,-0.00335252,0.00681736,0.943,1,0,Inf,0.943,0.007111310656648619,0.9998449404391494,18062.45124963697,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,6.775145e-5,1,-0.00451246,0.00492574,0.5209,1,0,Inf,0.5209,0.0023487549037126054,0.9997579851705333,16725.431865812698,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.0050392349999999995,1,-0.00959436,-5.75155e-4,1,1,0,Inf,0,2.41398167103649,0.9998906731634463,18610.655997014306,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,6.598839999999999e-4,1,-0.00457456,0.00532664,0.6983,1,0,Inf,0.6983,0.0026133678992955166,0.9997296780321092,17703.851027646906,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.003404595,1,-0.00824026,0.00230053,0.9962,1,0,Inf,0.0038,0.08654241624994709,0.9998605772229611,18344.497470079827,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.001249295,1,-0.00352494,0.00626617,0.8308,1,0,Inf,0.8308,0.0036530870467923636,0.9998342614579945,15881.9241153227,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.001695175,1,-0.00278265,0.00652575,0.9109,1,0,Inf,0.9109,0.005506381099146202,0.999781140068674,19166.27404960257,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.002404485,1,-0.00179931,0.00721037,0.971,1,0,Inf,0.971,0.012888243711383454,0.9999297292126444,17517.994214169703,TRUE,FALSE,FALSE,300
b_Congruency1.Bias1,0.0034974949999999998,1,-7.9533e-4,0.00886228,0.9986,1,0,Inf,0.9986,0.12266573261480805,0.9997094172801109,17455.69635203405,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-1.7160949999999998e-4,1,-0.00523087,0.00465588,0.5535,1,0,Inf,0.4465,0.0023461271087535807,0.9996691490515673,17924.887681884564,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00519728,1,-5.87638e-5,0.0111986,0.9999,1,0,Inf,0.9999,2.1551975757392894,0.9998242755135017,18499.79657426189,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-8.311465e-4,1,-0.00547002,0.00399309,0.742,1,0,Inf,0.258,0.0027868858507192275,0.9996518740849513,19983.502376425902,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00261381,1,-0.0026686600000000002,0.00796295,0.9811,1,0,Inf,0.9811,0.01971947940444196,0.9998494758053884,18793.320273130732,TRUE,TRUE,FALSE,300
b_Congruency1.Bias1,-0.0032912949999999996,1,-0.00784402,0.00168718,0.9949,1,0,Inf,0.0051,0.07118057810719544,0.9999500679954215,19131.47815143276,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.0023244299999999997,1,-0.00207214,0.00694249,0.967,1,0,Inf,0.967,0.012707226369691833,0.9998942945485942,17594.326929193932,TRUE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00862338,1,0.00388187,0.0136768,1,1,0,Inf,1,13426.563028920993,0.9999330977468174,17648.636280718187,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.00146613,1,-0.0033581,0.00646418,0.8863,1,0,Inf,0.8863,0.00447746189916929,0.9998873170391939,15519.793264855634,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00355727,1,-0.00129,0.00828518,0.9976,1,0,Inf,0.9976,0.12079229946244675,0.9999595193447781,19903.001709289405,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.0041156249999999995,1,-0.00881496,0.00119469,0.9993,1,0,Inf,7e-4,0.26315929314861736,0.9997475718490321,19992.250578803498,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.002326255,1,-0.00750571,0.00240506,0.9631,1,0,Inf,0.0369,0.011663049989750113,0.9997454686061864,18504.466361905597,TRUE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00191518,1,-0.00286516,0.00645197,0.9319,1,0,Inf,0.9319,0.00657462198243909,0.9998560968631108,12790.06028659826,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00357338,1,-0.00107449,0.00829541,0.9983,1,0,Inf,0.9983,0.13862642787150845,0.9997944576196,21389.04419673276,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.0014009650000000001,1,-0.00606919,0.00344076,0.86,1,0,Inf,0.14,0.0038688772588473057,0.9997484508842448,18655.49844128937,FALSE,FALSE,FALSE,300
