transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
piggy bank,0.91856503,WhqRyYRH,154,NA,NA
crackers,0.98762906,WhqRyYRH,155,1.0150000000000001,1.42
arm,0.9741881,WhqRyYRH,156,1.6300000000000001,1.9100000000000001
bug,0.95532143,WhqRyYRH,157,1.045,1.41
Moon,0.98762906,WhqRyYRH,158,0.795,1.28
leg,0.9735476,WhqRyYRH,159,1.5049999999999997,1.8699999999999997
chair,0.97269976,WhqRyYRH,160,0.9549999999999998,1.3649999999999998
llama,0.9876808,WhqRyYRH,161,1.27,1.8
igloo,0.98762906,WhqRyYRH,162,1.035,1.4749999999999999
mushroom,0.98762906,WhqRyYRH,163,1.1249999999999998,1.7799999999999998
stairs,0.98762906,WhqRyYRH,164,1.175,1.7650000000000001
fire hydrant,0.7729641,WhqRyYRH,165,1.11,1.95
harpsicord,1,WhqRyYRH,166,1.3900000000000001,1.935
bed,0.9731843,WhqRyYRH,167,1.17,1.355
moose,1,WhqRyYRH,168,1.25,1.8900000000000001
chest,0.98762906,WhqRyYRH,169,1.03,1.225
lawnmower,1,WhqRyYRH,170,1.99,2.2
skeleton,0.98762906,WhqRyYRH,171,1.3999999999999997,1.6549999999999998
wing,0.97716725,WhqRyYRH,172,1.1,1.2750000000000001
gun,0.9700963,WhqRyYRH,173,1.155,1.365
lock,1,WhqRyYRH,174,1.1999999999999997,1.5899999999999999
gorilla,0.9605673,WhqRyYRH,175,1.3800000000000001,1.855
butter,0.98762906,WhqRyYRH,176,1.845,2.1350000000000002
hand,0.98762906,WhqRyYRH,177,0.895,1.2750000000000001
motorcycle,0.98762906,WhqRyYRH,178,1.23,2.185
feather,0.98762906,WhqRyYRH,179,1.065,1.175
unicorn,0.98762906,WhqRyYRH,180,1.4699999999999998,2.2549999999999994
trashcan,0.48659647,WhqRyYRH,181,1.605,1.965
Soldier,0.98762906,WhqRyYRH,182,1.76,2.19
wrench,0.98762906,WhqRyYRH,183,0.915,1.57
sword,0.98762906,WhqRyYRH,184,1.045,1.5350000000000001
pineapple,0.98762906,WhqRyYRH,185,1.1400000000000001,1.895
Sun,0.9299364,WhqRyYRH,186,1.395,2.05
snail,0.98762906,WhqRyYRH,187,1.1999999999999997,2.025
mirror,0.98762906,WhqRyYRH,188,1.2949999999999997,1.8249999999999997
yoyo,0.9278792,WhqRyYRH,189,1.3900000000000001,2.325
tent,0.94696903,WhqRyYRH,190,1.19,1.635
rabbit,0.98762906,WhqRyYRH,191,1.18,1.385
