Sub_Code,Trial,transcript
6ftHZkLW,7,bus
6ftHZkLW,10,pineapple
6ftHZkLW,11,a glove
6ftHZkLW,23,book
6ftHZkLW,43,cake
6ftHZkLW,53,witch
6ftHZkLW,63,sword
6ftHZkLW,65,hat
6ftHZkLW,68,mushroom
6ftHZkLW,101,bridge
6ftHZkLW,105,truck
6ftHZkLW,114,pants
6ftHZkLW,126,bow
6ftHZkLW,128,pelican
6ftHZkLW,178,spoon
6ftHZkLW,186,saw
6ftHZkLW,188,spider
6ftHZkLW,245,paw
7n2a7und,16,bowl
7n2a7und,72,mountain
7n2a7und,116,vase
7n2a7und,121,lightbulb
7n2a7und,160,paw
7n2a7und,178,nurse
7n2a7und,180,box
7n2a7und,186,man
7n2a7und,204,eye
7n2a7und,215,rollingpin
7n2a7und,235,pool
7n2a7und,245,purse
97KtfInO,170,chin
97KtfInO,178,pin
97KtfInO,244,glove
AeNtfGhY,8,fork
AeNtfGhY,43,bed
AeNtfGhY,69,bowl
AeNtfGhY,102,paw
AeNtfGhY,143,faucet
AeNtfGhY,145,bone
AeNtfGhY,170,match
AeNtfGhY,188,letters
AeNtfGhY,204,pillow
AeNtfGhY,216,toes
AeNtfGhY,217,bird
b4XEmCtg,10,ghost flower
b4XEmCtg,119,paw
b4XEmCtg,191,fork
n5WyKu7b,10,duck
n5WyKu7b,82,net
n5WyKu7b,106,bow
n5WyKu7b,162,bee
n5WyKu7b,171,claw
n5WyKu7b,176,foot
n5WyKu7b,246,parrot
OB16YtL7,4,nail
OB16YtL7,8,arm
OB16YtL7,11,neck
OB16YtL7,27,well
OB16YtL7,44,broom
OB16YtL7,76,ball
OB16YtL7,78,ant
OB16YtL7,84,seal
OB16YtL7,85,spoon
OB16YtL7,94,key
OB16YtL7,100,bell
OB16YtL7,109,blanket
OB16YtL7,121,pool
OB16YtL7,129,grill
OB16YtL7,135,duck
OB16YtL7,141,bowl
OB16YtL7,149,bow
OB16YtL7,157,tail
OB16YtL7,159,nail
OB16YtL7,165,heel
OB16YtL7,179,belt
OB16YtL7,184,truck
OB16YtL7,190,glove
OB16YtL7,198,igloo
OB16YtL7,200,wall
OB16YtL7,211,plug
OB16YtL7,227,drill
OB16YtL7,229,curtains
OB16YtL7,232,foot
QgPwhi4C,50,peas
QgPwhi4C,155,tie
QgPwhi4C,194,glove
wPIgEbkZ,61,racket
wPIgEbkZ,75,cup
DgaPj1hX,18,hair
DgaPj1hX,26,thumb
DgaPj1hX,34,pillow
DgaPj1hX,88,can
DgaPj1hX,122,tie
DgaPj1hX,151,pool
DgaPj1hX,159,hat
DgaPj1hX,177,hand
DgaPj1hX,197,hoof
dTqRDLkv,56,drawer
dTqRDLkv,98,eye
dTqRDLkv,104,foot
dTqRDLkv,111,tricycle
dTqRDLkv,120,squirrel
dTqRDLkv,133,key
dTqRDLkv,176,bed
dTqRDLkv,184,ladder
dTqRDLkv,187,pot
dTqRDLkv,189,toe
dTqRDLkv,210,paw
dTqRDLkv,218,phone
dTqRDLkv,230,hook
dTqRDLkv,248,pole
JCT9d1Uf,3,coat
JCT9d1Uf,52,bed
JCT9d1Uf,123,vase
JCT9d1Uf,175,crab
JCT9d1Uf,188,boat
JCT9d1Uf,230,crown
WhqRyYRH,34,pool
WhqRyYRH,52,a glove
WhqRyYRH,61,zebra
WhqRyYRH,114,tank
WhqRyYRH,149,dress
WhqRyYRH,231,skis
sJiC0naK,25,nail
sJiC0naK,28,toilet
sJiC0naK,31,tie
sJiC0naK,35,pizza
sJiC0naK,45,comb
sJiC0naK,48,cake
sJiC0naK,50,snowman
sJiC0naK,51,ball
sJiC0naK,52,kite
sJiC0naK,55,leaf
sJiC0naK,57,saw
sJiC0naK,62,bone
sJiC0naK,68,toe
sJiC0naK,70,window
sJiC0naK,74,roll
sJiC0naK,86,dog
sJiC0naK,87,bowl
sJiC0naK,88,paw
sJiC0naK,106,pumpkin
sJiC0naK,108,nut
sJiC0naK,109,wheel
sJiC0naK,110,moose
sJiC0naK,113,chain
sJiC0naK,115,balloon
sJiC0naK,121,owl
sJiC0naK,123,drill
sJiC0naK,134,thumb
sJiC0naK,142,rope
sJiC0naK,143,pot
sJiC0naK,152,moon
sJiC0naK,158,pig
sJiC0naK,161,bag
sJiC0naK,165,coin
sJiC0naK,188,watch
sJiC0naK,195,mouse
sJiC0naK,200,boat
sJiC0naK,212,feet
sJiC0naK,213,boy
sJiC0naK,214,sled
sJiC0naK,225,eye
sJiC0naK,236,clown
sJiC0naK,237,lion
sJiC0naK,239,teeth
sJiC0naK,244,feet
OWNpYNOV,26,paw
OWNpYNOV,28,collar
OWNpYNOV,34,pool
OWNpYNOV,35,wall
OWNpYNOV,38,page
OWNpYNOV,52,fish
OWNpYNOV,67,rake
OWNpYNOV,98,bed
OWNpYNOV,99,dog
OWNpYNOV,112,hair
OWNpYNOV,137,bridge
OWNpYNOV,141,beard
OWNpYNOV,142,chair
